"","age","sex","N","year"
"1",0,"male",16735.7886473776,2010
"2",1,"male",70055.8190901724,2010
"3",5,"male",92499.7011029461,2010
"4",10,"male",93537.3286405807,2010
"5",15,"male",97253.3550653128,2010
"6",20,"male",91629.0968463517,2010
"7",25,"male",78989.277027366,2010
"8",30,"male",73640.166975255,2010
"9",35,"male",70486.3946637302,2010
"10",40,"male",56673.2405982704,2010
"11",45,"male",48884.8902070937,2010
"12",50,"male",42117.5403877163,2010
"13",55,"male",35610.4652173853,2010
"14",60,"male",29861.9709199447,2010
"15",65,"male",21432.2818554967,2010
"16",70,"male",17461.8980403893,2010
"17",75,"male",12159.3132621909,2010
"18",80,"male",7545.60644293268,2010
"19",85,"male",7083.6282106673,2010
"20",0,"female",16129.3806322648,2010
"21",1,"female",68922.4614208873,2010
"22",5,"female",90272.8002733337,2010
"23",10,"female",90262.9776905459,2010
"24",15,"female",96026.2396487702,2010
"25",20,"female",92912.7991797868,2010
"26",25,"female",82463.2932869976,2010
"27",30,"female",78840.9647657033,2010
"28",35,"female",75714.3689581506,2010
"29",40,"female",60861.2633134626,2010
"30",45,"female",53050.9785727165,2010
"31",50,"female",46431.1654214488,2010
"32",55,"female",38336.8157757294,2010
"33",60,"female",32153.4181687392,2010
"34",65,"female",22991.4857665825,2010
"35",70,"female",18578.8963258789,2010
"36",75,"female",12577.0724346486,2010
"37",80,"female",8194.59552659871,2010
"38",85,"female",7865.54597860663,2010
"39",0,"male",16056.4404141795,2019
"40",1,"male",73225.8957074606,2019
"41",5,"male",93944.710350898,2019
"42",10,"male",95812.7697886517,2019
"43",15,"male",99412.14892025,2019
"44",20,"male",99601.2783815159,2019
"45",25,"male",93449.6648959245,2019
"46",30,"male",88109.6916166002,2019
"47",35,"male",83872.765785799,2019
"48",40,"male",76116.5125331536,2019
"49",45,"male",68533.4649769934,2019
"50",50,"male",56656.3182728855,2019
"51",55,"male",47797.0408916796,2019
"52",60,"male",40025.7617913596,2019
"53",65,"male",33176.5634855941,2019
"54",70,"male",24738.6924589994,2019
"55",75,"male",16766.0355505681,2019
"56",80,"male",10284.9629947009,2019
"57",85,"male",8194.14422312566,2019
"58",0,"female",15661.3507624093,2019
"59",1,"female",71001.8839017867,2019
"60",5,"female",92216.7975936902,2019
"61",10,"female",93221.1492032387,2019
"62",15,"female",97025.5166053042,2019
"63",20,"female",99102.0921066016,2019
"64",25,"female",95505.704414072,2019
"65",30,"female",92797.2839078984,2019
"66",35,"female",88301.4518985871,2019
"67",40,"female",81708.4204744936,2019
"68",45,"female",73966.3640833089,2019
"69",50,"female",63053.4843561107,2019
"70",55,"female",53080.6735680582,2019
"71",60,"female",44791.1931310317,2019
"72",65,"female",36741.3110663717,2019
"73",70,"female",27083.1578262069,2019
"74",75,"female",17971.5685260505,2019
"75",80,"female",11652.0338508578,2019
"76",85,"female",10169.0295077592,2019
"77",0,"male",15909.2592325947,2021
"78",1,"male",73949.6137502837,2021
"79",5,"male",94268.8767381286,2021
"80",10,"male",96325.8936351493,2021
"81",15,"male",99898.3514702242,2021
"82",20,"male",101465.023096163,2021
"83",25,"male",97006.783796044,2021
"84",30,"male",91693.1249157915,2021
"85",35,"male",87177.061075295,2021
"86",40,"male",81272.8957798578,2021
"87",45,"male",73876.9440218744,2021
"88",50,"male",60515.5960674633,2021
"89",55,"male",51027.7245010309,2021
"90",60,"male",42718.00580596,2021
"91",65,"male",36559.5592393669,2021
"92",70,"male",26729.7991717308,2021
"93",75,"male",18006.7412461392,2021
"94",80,"male",11017.7656290595,2021
"95",85,"male",8463.66918931678,2021
"96",0,"female",15559.2025049291,2021
"97",1,"female",71472.4318812665,2021
"98",5,"female",92654.4507097539,2021
"99",10,"female",93891.5761091389,2021
"100",15,"female",97248.9865369218,2021
"101",20,"female",100532.541654871,2021
"102",25,"female",98673.406222708,2021
"103",30,"female",96219.8986221577,2021
"104",35,"female",91371.3336662624,2021
"105",40,"female",87235.8068599537,2021
"106",45,"female",79636.106760978,2021
"107",50,"female",67490.4485358836,2021
"108",55,"female",57061.2072363477,2021
"109",60,"female",48215.3096895187,2021
"110",65,"female",40775.2226423754,2021
"111",70,"female",29449.1319678053,2021
"112",75,"female",19455.0277475444,2021
"113",80,"female",12600.0940122925,2021
"114",85,"female",10766.3510693962,2021
