"year","sex","age","deaths"
1990,"female",0,0
1990,"female",1,0
1990,"female",5,0
1990,"female",10,0
1990,"female",15,0
1990,"female",20,2
1990,"female",25,2
1990,"female",30,0
1990,"female",35,2
1990,"female",40,2
1990,"female",45,4
1990,"female",50,2
1990,"female",55,2
1990,"female",60,0
1990,"female",65,2
1990,"female",70,0
1990,"female",75,0
1990,"female",80,0
1990,"female",85,0
1991,"female",0,0
1991,"female",1,2
1991,"female",5,0
1991,"female",10,0
1991,"female",15,0
1991,"female",20,2
1991,"female",25,0
1991,"female",30,0
1991,"female",35,0
1991,"female",40,2
1991,"female",45,0
1991,"female",50,0
1991,"female",55,0
1991,"female",60,0
1991,"female",65,0
1991,"female",70,0
1991,"female",75,0
1991,"female",80,0
1991,"female",85,0
1992,"female",0,0
1992,"female",1,0
1992,"female",5,2
1992,"female",10,0
1992,"female",15,0
1992,"female",20,0
1992,"female",25,2
1992,"female",30,2
1992,"female",35,0
1992,"female",40,2
1992,"female",45,4
1992,"female",50,0
1992,"female",55,0
1992,"female",60,0
1992,"female",65,0
1992,"female",70,0
1992,"female",75,0
1992,"female",80,0
1992,"female",85,0
1993,"female",0,0
1993,"female",1,0
1993,"female",5,2
1993,"female",10,0
1993,"female",15,0
1993,"female",20,2
1993,"female",25,2
1993,"female",30,4
1993,"female",35,0
1993,"female",40,2
1993,"female",45,0
1993,"female",50,0
1993,"female",55,0
1993,"female",60,0
1993,"female",65,2
1993,"female",70,0
1993,"female",75,0
1993,"female",80,0
1993,"female",85,0
1994,"female",0,0
1994,"female",1,0
1994,"female",5,0
1994,"female",10,0
1994,"female",15,2
1994,"female",20,0
1994,"female",25,4
1994,"female",30,0
1994,"female",35,2
1994,"female",40,0
1994,"female",45,0
1994,"female",50,0
1994,"female",55,0
1994,"female",60,0
1994,"female",65,0
1994,"female",70,0
1994,"female",75,0
1994,"female",80,0
1994,"female",85,0
1995,"female",0,0
1995,"female",1,0
1995,"female",5,0
1995,"female",10,2
1995,"female",15,0
1995,"female",20,2
1995,"female",25,0
1995,"female",30,0
1995,"female",35,4
1995,"female",40,2
1995,"female",45,0
1995,"female",50,0
1995,"female",55,0
1995,"female",60,0
1995,"female",65,0
1995,"female",70,0
1995,"female",75,0
1995,"female",80,0
1995,"female",85,2
1996,"female",0,0
1996,"female",1,2
1996,"female",5,0
1996,"female",10,0
1996,"female",15,2
1996,"female",20,0
1996,"female",25,0
1996,"female",30,2
1996,"female",35,0
