"lt_desc","year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"LT VR/Census, MEX",2010,"m",0,0.027048,0.026417,0.12,1e+05,2642,97669,6440382,64.4
"LT VR/Census, MEX",2010,"m",1,0.001135,0.004529,1.57,97358,441,388364,6342713,65.15
"LT VR/Census, MEX",2010,"m",5,0.000542,0.002707,2.5,96917,262,483931,5954349,61.44
"LT VR/Census, MEX",2010,"m",10,0.000507,0.002534,2.5,96655,245,482663,5470418,56.6
"LT VR/Census, MEX",2010,"m",15,0.00143,0.007123,2.5,96410,687,480334,4987755,51.73
"LT VR/Census, MEX",2010,"m",20,0.002633,0.013081,2.5,95723,1252,475487,4507422,47.09
"LT VR/Census, MEX",2010,"m",25,0.002869,0.014242,2.5,94471,1345,468992,4031935,42.68
"LT VR/Census, MEX",2010,"m",30,0.003976,0.019683,2.5,93126,1833,461046,3562943,38.26
"LT VR/Census, MEX",2010,"m",35,0.005121,0.02528,2.5,91293,2308,450694,3101896,33.98
"LT VR/Census, MEX",2010,"m",40,0.007442,0.036531,2.5,88985,3251,436797,2651202,29.79
"LT VR/Census, MEX",2010,"m",45,0.0102,0.049734,2.5,85734,4264,418011,2214405,25.83
"LT VR/Census, MEX",2010,"m",50,0.013854,0.066953,2.5,81470,5455,393715,1796394,22.05
"LT VR/Census, MEX",2010,"m",55,0.019183,0.091527,2.5,76016,6957,362684,1402679,18.45
"LT VR/Census, MEX",2010,"m",60,0.028023,0.13094,2.5,69058,9042,322685,1039995,15.06
"LT VR/Census, MEX",2010,"m",65,0.042881,0.193644,2.5,60016,11622,271024,717310,11.95
"LT VR/Census, MEX",2010,"m",70,0.060859,0.264112,2.5,48394,12781,210016,446286,9.22
"LT VR/Census, MEX",2010,"m",75,0.106586,0.420801,2.5,35613,14986,140598,236270,6.63
"LT VR/Census, MEX",2010,"m",80,0.178938,0.618158,2.5,20627,12751,71257,95672,4.64
"LT VR/Census, MEX",2010,"m",85,0.3226,1,NA,7876,7876,24415,24415,3.1
"LT VR/Census, MEX",2019,"m",0,0.023311,0.022836,0.11,1e+05,2284,97962,6492687,64.93
"LT VR/Census, MEX",2019,"m",1,0.000929,0.003709,1.59,97716,362,389991,6394725,65.44
"LT VR/Census, MEX",2019,"m",5,0.000383,0.001915,2.5,97354,186,486304,6004734,61.68
"LT VR/Census, MEX",2019,"m",10,0.000491,0.002451,2.5,97168,238,485242,5518431,56.79
"LT VR/Census, MEX",2019,"m",15,0.001329,0.006621,2.5,96929,642,483042,5033188,51.93
"LT VR/Census, MEX",2019,"m",20,0.002411,0.011983,2.5,96288,1154,478554,4550146,47.26
"LT VR/Census, MEX",2019,"m",25,0.003223,0.015986,2.5,95134,1521,471867,4071592,42.8
"LT VR/Census, MEX",2019,"m",30,0.004134,0.020458,2.5,93613,1915,463277,3599725,38.45
"LT VR/Census, MEX",2019,"m",35,0.005703,0.028113,2.5,91698,2578,452044,3136449,34.2
"LT VR/Census, MEX",2019,"m",40,0.007204,0.035382,2.5,89120,3153,437717,2684404,30.12
"LT VR/Census, MEX",2019,"m",45,0.009797,0.047814,2.5,85967,4110,419557,2246688,26.13
"LT VR/Census, MEX",2019,"m",50,0.013881,0.06708,2.5,81856,5491,395554,1827130,22.32
"LT VR/Census, MEX",2019,"m",55,0.020955,0.099561,2.5,76365,7603,362819,1431576,18.75
"LT VR/Census, MEX",2019,"m",60,0.028199,0.131709,2.5,68762,9057,321170,1068757,15.54
"LT VR/Census, MEX",2019,"m",65,0.039692,0.180543,2.5,59706,10779,271580,747587,12.52
"LT VR/Census, MEX",2019,"m",70,0.061885,0.267969,2.5,48926,13111,211854,476007,9.73
"LT VR/Census, MEX",2019,"m",75,0.089522,0.365754,2.5,35816,13100,146329,264153,7.38
"LT VR/Census, MEX",2019,"m",80,0.148757,0.542161,2.5,22716,12316,82790,117824,5.19
"LT VR/Census, MEX",2019,"m",85,0.296861,1,NA,10400,10400,35034,35034,3.37
"LT VR/Census, MEX",2021,"m",0,0.019123,0.018798,0.1,1e+05,1880,98301,6072202,60.72
"LT VR/Census, MEX",2021,"m",1,0.001163,0.00464,1.6,98120,455,391387,5973901,60.88
"LT VR/Census, MEX",2021,"m",5,0.000318,0.00159,2.5,97665,155,487936,5582514,57.16
"LT VR/Census, MEX",2021,"m",10,0.000519,0.002592,2.5,97510,253,486916,5094578,52.25
"LT VR/Census, MEX",2021,"m",15,0.001382,0.006885,2.5,97257,670,484610,4607662,47.38
"LT VR/Census, MEX",2021,"m",20,0.003016,0.014969,2.5,96587,1446,479322,4123052,42.69
"LT VR/Census, MEX",2021,"m",25,0.004413,0.021824,2.5,95141,2076,470516,3643730,38.3
"LT VR/Census, MEX",2021,"m",30,0.005389,0.026585,2.5,93065,2474,459140,3173214,34.1
