year,sex,age,mx,qx,lx,dx,Lx,Tx,ex,causa
2010,m,0,0.027048,0.026417,1e+05,2642,97669,6440382,64.4,todas_causas
2010,m,1,0.001135,0.004529,97358,441,388364,6342713,65.15,todas_causas
2010,m,5,0.000542,0.002707,96917,262,483931,5954349,61.44,todas_causas
2010,m,10,0.000507,0.002534,96655,245,482663,5470418,56.6,todas_causas
2010,m,15,0.00143,0.007123,96410,687,480334,4987755,51.73,todas_causas
2010,m,20,0.002633,0.013081,95723,1252,475487,4507422,47.09,todas_causas
2010,m,25,0.002869,0.014242,94471,1345,468992,4031935,42.68,todas_causas
2010,m,30,0.003976,0.019683,93126,1833,461046,3562943,38.26,todas_causas
2010,m,35,0.005121,0.02528,91293,2308,450694,3101896,33.98,todas_causas
2010,m,40,0.007442,0.036531,88985,3251,436797,2651202,29.79,todas_causas
2010,m,45,0.0102,0.049734,85734,4264,418011,2214405,25.83,todas_causas
2010,m,50,0.013854,0.066953,81470,5455,393715,1796394,22.05,todas_causas
2010,m,55,0.019183,0.091527,76016,6957,362684,1402679,18.45,todas_causas
2010,m,60,0.028023,0.13094,69058,9042,322685,1039995,15.06,todas_causas
2010,m,65,0.042881,0.193644,60016,11622,271024,717310,11.95,todas_causas
2010,m,70,0.060859,0.264112,48394,12781,210016,446286,9.22,todas_causas
2010,m,75,0.106586,0.420801,35613,14986,140598,236270,6.63,todas_causas
2010,m,80,0.178938,0.618158,20627,12751,71257,95672,4.64,todas_causas
2010,m,85,0.3226,1,7876,7876,24415,24415,3.1,todas_causas
2019,m,0,0.023311,0.022836,1e+05,2284,97962,6492687,64.93,todas_causas
2019,m,1,0.000929,0.003709,97716,362,389991,6394725,65.44,todas_causas
2019,m,5,0.000383,0.001915,97354,186,486304,6004734,61.68,todas_causas
2019,m,10,0.000491,0.002451,97168,238,485242,5518431,56.79,todas_causas
2019,m,15,0.001329,0.006621,96929,642,483042,5033188,51.93,todas_causas
2019,m,20,0.002411,0.011983,96288,1154,478554,4550146,47.26,todas_causas
